"item_id","item_title","item_comment","items_left","stock","price","release_date","created_date","modified_date","brand_name","brand_name_kana","user_id","user_nickname"
"10275889","Sale!!送料込み☆Lauren Moshi☆ Yacht Club ロングTシャツ","Lauren Moshiより Yacht Club ロンTお取り寄せ出来ます。

Sale価格になりました。
是非いかがでしょうか？

※こちらはお取り寄せに10日前後かかります。
※注文確定後に時間差で完売していまうケースもございます…何卒ご了承下さいませ。","3","3","11800","2013-06-25 10:48:27.570","2013-06-25 10:48:27.570","2013-06-25 10:48:27.610","Lauren Moshi","ローレンモシ","320286","gold ☆ fish"
"10275888","国内発・送料込&hearts;Modcloth 新作レースシャツトップス","大人気セレクトショップ　Modcloth(モドクロス)から新作のトップスが登場です！
日本では、あまり販売されていない商品ですので、他の人と違うアイテムをお求めの方にオススメ！

Modcloth 商品名 Turn Up the Lace Top
※Modclothは各サイズ数点のみの在庫ですので
すぐに完売してしまい、再入荷があまりありません。
もし、お気に入りの物がございましたら、早めの購入をおすすめします

こちらのブランドは、テイラースウィフトやブレイク・ライブリー
マイリーが大好きな、今注目のブランドです。

<<ご購入希望者様へ>>
表示料金は、関税・送料全て込みの価格となります
土日祝も休まず配送・買い付け対応致します
お品物は正規店・有名デパート・信頼出来る海外ストアで買い付けして発送致しますので100％正規品です。

☆イメージと違うなど、海外買い付けの為、申し訳ございませんがお客様のご都合による返品・交換は、原則としてお受けしておりません。
不明な点は必ず受注前にご質問ください。
☆海外からの買い付けのため２週間から３週間のお時間をいただいております。

☆オーダーと同時に注文を入れます。いかなる場合（セール、為替により価格が変動した場合などを含む）もお届けまでの間のキャンセルはできかねますのでご注意ください。
☆在庫切れとなりました場合は、全額返金させて頂きます。
☆他にもご希望の品がございましたらお安く提供させていただきますので、お問い合わせくださいませ。

☆在庫の動きが早いため、ご希望のお品を入手できない場合もございます。
全力で探させていただきますが、お早めにご検討くださいませ。
その他、質問等ありましたら お気軽にお問い合わせくださいませ。","2","2","10800","2013-06-25 10:48:25.450","2013-06-25 10:48:25.450","2013-06-25 10:48:25.487","modcloth","モドクロス ","1512887","★my&do★"
"10275887","「関税込」Marc by Marc Jacobs Exploded Bow Large Stud","Textured metal creates a striking outline on faceted crystal earrings. Post closure.

Rose-gold plate.
Imported, China.

MEASUREMENTS
Length: 0.5in / 1.25cm



質感の金属はファセット結晶のイヤリングで印象的なアウトラインを作成します。クロージャを投稿してください。

ローズゴールドプレート。
輸入元、中国。

MEASUREMENTS
長さ：0.5インチ/1.25センチメートル","1","1","7800","2013-06-25 10:48:13.727","2013-06-25 10:48:13.727","2013-06-25 10:48:13.763","Marc by Marc Jacobs","マークバイマークジェイコブス","880589","WAKYO"
"10275886","☆Saint Laurent☆バック♪MINI LEATHER BOWLING BAG","鮮やかなレッドカラーのバックです。
ショルダー風に肩から掛けてもいい感じ★

☆.。:*。*・。。*:*:。.:*:・'.。:*。*・。。*:*:。☆


 ※※※【重要】※※※

 ●ご注文確定後のお取り寄せとなりますので、通常２〜３週間ほどお手元に届くまでにお時間がかかります。

●お取り引き中に在庫状況や発送の連絡をメールにて行いますので、お取り引きが完了するまで必ずメールの確認を行ってください。

●ご注文後のお客様の都合によるキャンセルは受付できません。在庫が完売の商品の場合はお取引はキャンセルとなりバイマより返金が行われますのでご安心下さい。

●コンビニ・銀行振込の場合は注文が確定するまでにお時間がかかり、タイミングによっては在庫状況が変わりますのでお早めのご入金をお待ちしております。

●海外商品は日本基準よりも低いため、多少の傷、汚れやほつれ、タグがついていない、箱がつぶれているなどの場合がありますが、基本的にクレームとしてお受けできません。

●モニター環境によってお色や質感が異なって見える場合がありますが、イメージ違いやサイズ違いによる返品や交換はお受けできません。

●国内発送ですので関税はかかりませんのでご安心下さい。","3","3","210450","2013-06-25 10:48:09.290","2013-06-25 10:48:09.290","2013-06-25 10:48:09.323","Saint Laurent","サンローラン","1637328","PRISM BRAND"
"10208586","セレブ★モデル愛用★オークリー★サングラス","58421193オークリー Oakley キャノピー ホワイト / オレンジ サングラス       スタイル : Goggle, Rectangle, Shield フレーム素材: プラスチック レンズ素材: ポリカーボネート ケースタイプ: pouch Looks best on these face shapes: Heart, Oval, Round, スクウェア ■ブランド説明■ 1975年に設立された、米国カリフォルニア州に本社を構えるスポーツ＆ライフスタイルブランド。「あらゆる状況下においてどのように眼を守るか？」を第一に考えて技術開発を行ってきた企業姿勢は、全世界で約600の特許取得という技術を生み出し、アイウェア業界のリーダ的存在となっている。あらゆるスポーツジャンルにおいて一流選手の使用実績がそのクオリティーの高さを証明している。



☆★☆★☆★☆★☆★☆★☆★☆★☆★☆★☆★☆★
　商品ページにお越し頂きまして誠にありがとうございます。

　ご注文後、海外へ商品をお手配させて頂きます。
ご注文後の商品売り切れによるキャンセルを防ぐためにも、
事前に在庫の有無をお問合せ頂けますと幸いでございます。

〜商品のお届けまでの流れ〜
ご注文後海外へお手配を行わせて頂きます。
海外から国内へ到着後、国内にて検品を行いお客様のお手元へお届けさせて頂きます。
国内発送でございますので、関税など追加で料金が必要になることはございませんのでご安心下さいませ。
　ご注文完了後、
通常1２日〜1８日以内にお手元へお届けさせて頂きます。

海外正規店へのお手配でございますので、100% 本物の商品でございます。
ご安心してお買い物を行って頂ければと思います。

商品に関するご質問、お問合せもお気軽にご連絡下さいませ。

商品に不安がございます場合は、BUYMA鑑定サービスをご利用下さいませ。
☆★☆★☆★☆★☆★☆★☆★☆★☆★☆★☆★☆★
","3","3","20500","2013-06-25 10:48:04.253","2013-06-17 14:50:49.587","2013-06-25 10:48:04.253","OAKLEY","オークリー","1536134","in CELEB"
"10270669","ROCK FISH オリジナルプリントレインブーツ 2色","ROCK FISH(ロックフィッシュ) 2013SS オリジナルプリントレインブーツ 2色選択♪

☆イギリスのレインブーツブランドROCK FISH☆
カラフルなレインブーツ柄とROCK FISHのロゴ柄が目を引きそう☆ショートパンツやワンピースにもバッチリなアイテムです♪

★ご注文前にご確認をお願いします★
▼商品
・サイズと色をご確認下さい。
・お使いのモニター環境によって、写真と実物の色合い等が微妙に異なる場合がございます。
・サイズは測り方により表記サイズに数cmの誤差がある場合がございます。
・すべて新品でございますが、海外製であるため日本製に比べると縫製が雑であったり、微細なほつれなどがある場合があります。

▼配送準備
・発送までに1週間ほどお時間をいただいておりますが、入荷時期によっては2ー3週程度お時間がかかる場合がございます。

▼キャンセル・返品・交換
・ご注文後のキャンセル・返品・交換は致しかねますので、予めご了承下さい。
・尚、ご注文後に完売となることもございますが、その場合はキャンセル処理とさせていただきます。","2","2","12680","2013-06-25 10:48:01.220","2013-06-24 15:07:15.150","2013-06-25 10:48:01.223","ROCK FISH","ロックフィッシュ","1105078","IPURE"
"10275885","2013新作 ギャルソン×Supreme Tシャツ","大人気！！！国内即発！！ 早くも春夏　SALE セール

2013新作 ギャルソン×Supreme ボックス ロゴTシャツ

Supreme Comme des Garcons  Digi Camo Tシャツ


国内在庫ございますので、即発送可能です。2〜3日でお手元に届きます。
関税の心配もありません。

商品は細心の注意を払って検品の上発送しておりますが、アメリカの品質基準は日本より緩やかなため、どうしても避けられないようなごく目立たないキズ等の問題があることもあります。また、その商品の特性や素材上、色味や質感などに若干の個体差があることもあります。予めご了承ください。なお、細部までこだわりのある場合には店頭でお品を直接確認された上でのご購入をお勧めいたします。

注文の前に、お問い合わせより在庫の確認をお願いします。","2","2","19900","2013-06-25 10:47:59.393","2013-06-25 10:47:59.393","2013-06-25 10:47:59.433","Supreme","シュプリーム","1083707","とらたろう88"
"10275884","【SALE】LOUBOUTIN ルブタン YOLANDA  パンプス","梨花さん愛用のヌードパンプスや
辺見えみりさん愛用のCATACLOUエスパドリーユ、
サエコさん愛用のピンクスエードパンプス等、
毎年イットセレブが必ず着用フォトをブログにアップする
永遠のイットブランドクリスチャン・ルブタン！


◆NUDEパテントパンプス""YOLANDA"" 

ピープトゥ×スティレットヒールで大胆なSexyラインが魅力のYOLANDA PATENTです。
シンプルさの中に新しいテイストを重ねたClassicシューズ。


☆国内送ですので関税込・送料込となっております。
海外発送の様な関税支払の手間なくお受け取り頂けます。","1","1","114000","2013-06-25 10:47:55.267","2013-06-25 10:47:55.267","2013-06-25 10:47:55.303","Christian Louboutin","クリスチャンルブタン","1067275","☆ROHAN☆"
"10275883","★アバクロ★メンズ ボーダー Tシャツ L グレー Vネック","Abercrombie & Fitch 

☆商品名・Silver Lake Tee 

☆コメント 
*セレブ達の着用率も爽やかなVネックTシャツです♪
*大人ならではの雰囲気が溢れるボーダデザインが魅力!
*肌触りのいい素材で着心地もバツグンです。
*アバクロ特有の柔らかく、しっかりとした生地になってます♪
*お気に入りになること間違いなし! 


AF5517","1","1","4800","2013-06-25 10:47:28.277","2013-06-25 10:47:28.277","2013-06-25 10:47:28.310","Abercrombie & Fitch","アバクロ","941846","tanukikun"
"10275882","レベッカミンコフ <大人気♪> Cupid サッチェルバッグ-midnight-","・・・・・・・・・・・・・・・・・・・・・・・・・・・・
レベッカ・ミンコフが2001年、21歳の時にスタートさせた
ブランド「REBECCA MINKOFF（レベッカミンコフ）」      

名前が知れ渡るきっかけとなったのは
「I love New York」Tシャツの大ヒットである。

2005年からはハンドバッグの製作を開始する。
初めて作った「Morning After Bag」が大ヒット商品となった。

服やバッグはアギネス・ディーンやキーラ・ナイトレイ、
リース・ウィザースプーンなど多くのセレブが愛用しています。
・・・・・・・・・・・・・・・・・・・・・・・・・・・・・・	

Rebecca Minkoff（レベッカミンコフ）
Cupid Satchel


セレブ愛用！
大人気のサッチェルバッグ♪

ミッドナイトブルー色が
もっとおしゃれで特別な風合いをプラスしてくれます。

ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー

&#9825;関税・送料ともに込みの価格です

&#9825;ご注文いただいてから買い付けいたしますので
　お手元に到着するまでに1〜2週間ほどかかります。

&#9825;お客様のPCモニターによって、画像の色が実物と異なって見える場合がございます。
　あらかじめご了承ください。

&#9825;ご注文後のキャンセルや商品到着後の返品はお受けいたしかねます。
　
&#9825;気になることがございましたらお気軽にご連絡ください。

ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー","2","2","68000","2013-06-25 10:47:25.970","2013-06-25 10:47:25.970","2013-06-25 10:47:26.100","Rebecca Minkoff","レベッカミンコフ","1487835","fulfillourdream"
